"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllFathers\FormPadre.jsx", "JavaScript JSX", 0, 0, 44, 0, 0, 0, 0, 5, 49
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllFathers\InfoPadreGrid.jsx", "JavaScript JSX", 0, 0, 70, 0, 0, 0, 3, 4, 77
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllFathers\ModalBuscarEstudiante.jsx", "JavaScript JSX", 0, 0, 98, 0, 0, 0, 0, 11, 109
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllFathers\ModalEditaPadre.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 5, 26
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllFathers\NuevoPadre.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 0, 19, 13, 82
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllFathers\PadreContactInfo.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 0, 3, 4, 56
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllFathers\PadreDireccionInfo.jsx", "JavaScript JSX", 0, 0, 65, 0, 0, 0, 0, 10, 75
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllFathers\PadrePersonalInfo.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 0, 3, 5, 64
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllFathers\PerfilPadre.jsx", "JavaScript JSX", 0, 0, 104, 0, 0, 0, 3, 17, 124
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllFathers\TablaEstudiantesVinculos.jsx", "JavaScript JSX", 0, 0, 162, 0, 0, 0, 3, 21, 186
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllFathers\TablaHistorialIncidentes.jsx", "JavaScript JSX", 0, 0, 72, 0, 0, 0, 3, 8, 83
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllProfesores\AllProfesores.jsx", "JavaScript JSX", 0, 0, 110, 0, 0, 0, 0, 9, 119
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllProfesores\CrearProfesor.jsx", "JavaScript JSX", 0, 0, 44, 0, 0, 0, 1, 13, 58
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllProfesores\FormProfesor.jsx", "JavaScript JSX", 0, 0, 133, 0, 0, 0, 10, 11, 154
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllProfesores\ModalEditaProfesor.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllProfesores\PerfilProfesor.jsx", "JavaScript JSX", 0, 0, 102, 0, 0, 0, 2, 21, 125
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllProfesores\TodosLosReportes.jsx", "JavaScript JSX", 0, 0, 53, 0, 0, 0, 0, 5, 58
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\AllStudents.jsx", "JavaScript JSX", 0, 0, 140, 0, 0, 0, 0, 12, 152
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\EditarModalAlumno.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 0, 10, 58
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\EstudiantesAsesor.jsx", "JavaScript JSX", 0, 0, 111, 0, 0, 0, 0, 11, 122
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\InformacionEstudiante.jsx", "JavaScript JSX", 0, 0, 92, 0, 0, 0, 0, 13, 105
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\ModalObservacion.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 7, 88
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\Observaciones.jsx", "JavaScript JSX", 0, 0, 101, 0, 0, 0, 0, 11, 112
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\ObservacionesVistas..jsx", "JavaScript JSX", 0, 0, 42, 0, 0, 0, 0, 9, 51
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\SingleStudent.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 1, 16, 95
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\StudentUpdate\StudentUpdate.jsx", "JavaScript JSX", 0, 0, 228, 0, 0, 0, 0, 12, 240
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\StudentUpdate\sc_forms\AcademicDetailsForm.jsx", "JavaScript JSX", 0, 0, 82, 0, 0, 0, 0, 8, 90
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\StudentUpdate\sc_forms\GuardianDetailsForm.jsx", "JavaScript JSX", 0, 0, 152, 0, 0, 0, 0, 9, 161
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\StudentUpdate\sc_forms\IndividualDetailsForm.jsx", "JavaScript JSX", 0, 0, 245, 0, 0, 0, 0, 16, 261
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\StudentUpdate\sc_forms\PreviousSchoolDetailsForm.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 1, 5, 58
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\StudentUpdate\sc_forms\util\UtilCombobox.jsx", "JavaScript JSX", 0, 0, 86, 0, 0, 0, 0, 4, 90
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\sc_views\AcademicDetailsView.jsx", "JavaScript JSX", 0, 0, 37, 0, 0, 0, 0, 3, 40
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\sc_views\AttachmentDocumentView.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 0, 0, 3, 49
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\sc_views\GuardianDetailsView.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 0, 3, 44
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\sc_views\IndividualDetailsView.jsx", "JavaScript JSX", 0, 0, 107, 0, 0, 0, 0, 3, 110
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\AllStudents\sc_views\PreviousSchoolDetailsView.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\Chatbot\Chatbot.jsx", "JavaScript JSX", 0, 0, 168, 0, 0, 0, 4, 24, 196
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\Dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 99, 0, 0, 0, 0, 7, 106
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\Login\Login.jsx", "JavaScript JSX", 0, 0, 89, 0, 0, 0, 10, 14, 113
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\BulkAdmit\BulkAdmit.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\FormEstudiante.jsx", "JavaScript JSX", 0, 0, 45, 0, 0, 0, 4, 7, 56
